I will deal with this Jedi slime myself.
Your lightsabers will make a fine addition to my collection.
%NAME%. I expected someone with your reputation to be a little...older.
"Army or not, you must realize you are doomed."
Crush them! Make them suffer!
"What's the situation, captain?"
Hahaha! So many lightsabers to add to my collection!
