I sense a plot to destroy the Jedi.
The oppression of the Sith will never return. You have lost!
"In the name of the Galatic Senate of the Republic, you are under arrest."
This party's over.
I think it is time we inform the senate that our ability to use the force has diminished.
"You are on this council, but we do not grant you the rank of master."
"I am going to end this, once and for all!"
